accuracy,avg_reaction_time,mistakes,current_level,streak,game_type,next_level
76.0,2.14,4,2,3,memory,2
88.3,1.76,0,2,-2,pattern,3
59.7,3.14,6,5,1,pattern,4
100.0,2.37,0,2,-1,attention,3
79.4,2.19,2,4,-2,pattern,4
92.1,1.56,1,1,0,attention,2
83.1,1.77,0,1,-3,attention,1
91.8,2.56,0,1,-3,memory,1
84.3,1.34,1,1,-1,attention,2
79.4,2.45,2,3,-2,attention,3
87.2,2.41,0,2,-1,memory,2
97.2,2.08,0,1,2,routine,2
72.3,3.0,3,4,0,pattern,3
75.2,1.48,2,2,2,pattern,2
72.1,1.43,4,1,2,attention,1
100.0,1.02,0,1,-1,attention,2
91.2,1.72,0,1,2,routine,2
59.9,3.95,2,5,0,attention,4
58.3,2.21,2,4,1,routine,4
76.4,3.37,2,2,-1,routine,1
31.2,2.67,6,5,-2,routine,4
95.7,1.65,0,2,-1,routine,3
49.5,2.79,5,5,1,attention,4
78.3,2.9,1,5,-3,attention,5
74.1,1.42,2,3,3,pattern,3
78.3,1.62,1,2,1,pattern,2
100.0,1.56,0,1,2,pattern,2
69.0,2.9,2,3,-2,pattern,2
67.5,3.13,0,5,1,memory,5
60.4,4.22,3,5,0,pattern,4
70.7,4.2,2,4,0,routine,3
97.1,1.05,1,2,0,routine,3
54.0,2.87,6,3,-3,memory,2
91.8,2.34,1,2,2,routine,2
93.3,2.04,1,3,2,pattern,4
82.5,1.55,0,3,0,pattern,3
82.1,2.03,3,1,1,pattern,1
53.4,3.76,1,5,1,attention,4
66.9,3.06,2,5,-1,routine,4
71.7,4.65,1,5,-3,memory,4
60.0,3.27,2,5,2,memory,4
100.0,2.25,0,1,3,pattern,2
67.9,2.54,2,5,-1,pattern,5
100.0,0.6,0,2,3,routine,3
88.1,2.75,0,2,0,routine,2
100.0,1.17,0,1,3,routine,2
94.2,1.89,2,2,0,memory,2
56.0,3.92,7,5,-3,memory,4
100.0,2.6,1,2,-1,routine,2
95.8,2.61,0,3,-2,memory,3
86.9,2.95,1,3,2,memory,3
78.0,2.24,3,3,0,routine,3
100.0,1.41,0,1,1,routine,2
71.9,2.3,6,3,3,attention,3
98.6,1.57,0,2,1,attention,3
71.6,1.18,2,2,0,attention,2
67.9,1.39,1,1,-3,routine,1
92.4,2.34,2,2,-2,routine,2
78.5,1.7,1,1,-1,memory,1
58.8,2.84,6,5,1,memory,4
100.0,0.6,0,1,-2,attention,2
93.6,2.54,0,2,-3,routine,2
78.4,2.79,7,2,2,memory,1
86.4,2.83,1,3,0,pattern,3
51.5,3.95,7,5,1,routine,4
69.6,3.74,1,5,0,pattern,4
46.5,3.12,3,5,3,routine,4
73.2,1.44,2,2,1,memory,2
79.3,2.37,3,3,1,memory,3
91.1,2.71,1,2,3,routine,3
75.5,0.6,1,1,0,attention,1
68.9,2.56,4,4,3,routine,4
84.6,3.76,0,4,-2,memory,4
89.3,1.87,1,2,-1,pattern,2
87.9,1.59,1,2,-1,routine,3
93.9,2.03,1,2,-3,attention,2
34.9,4.45,5,5,-3,routine,4
100.0,1.5,0,1,2,routine,2
42.0,3.39,7,4,2,pattern,3
68.2,2.23,6,2,0,memory,1
65.7,3.5,5,5,-2,routine,4
91.4,1.56,0,2,1,attention,3
80.5,2.74,0,2,0,attention,2
69.3,3.52,0,4,-3,attention,3
54.4,2.68,3,4,2,memory,3
81.1,2.08,2,2,3,memory,2
91.3,2.4,1,3,3,pattern,4
88.5,1.65,0,2,3,routine,3
100.0,0.66,0,1,-3,routine,2
83.7,1.18,4,1,-3,routine,1
82.0,2.18,0,4,-1,routine,4
96.7,2.8,0,3,-2,routine,3
64.1,3.19,2,4,1,routine,3
76.2,3.88,3,5,0,attention,4
63.4,2.37,2,4,3,memory,4
57.6,3.54,6,5,2,routine,4
72.1,1.54,4,4,1,memory,4
94.9,1.66,1,1,-3,pattern,1
93.2,1.16,0,1,-1,pattern,2
82.1,2.06,1,2,1,routine,2
90.5,1.33,0,3,2,attention,4
65.5,3.4,5,4,-2,attention,3
87.1,3.02,4,3,-3,attention,2
96.1,1.63,0,1,0,pattern,2
64.0,3.01,3,4,-3,routine,3
100.0,1.12,0,1,-3,routine,2
92.7,1.58,0,2,-3,routine,3
86.9,1.85,0,3,1,attention,4
64.9,3.37,3,5,2,pattern,4
82.2,0.6,1,1,1,routine,2
95.7,2.85,1,2,-1,attention,2
89.4,1.06,1,2,1,routine,3
53.1,2.34,3,3,-3,routine,2
86.2,2.42,2,3,-2,routine,3
76.2,2.53,1,4,-3,routine,4
55.6,4.12,2,5,1,pattern,4
84.5,2.97,2,4,-3,attention,4
82.2,1.48,1,2,-2,routine,2
49.1,3.09,6,5,1,pattern,4
100.0,2.03,0,2,-3,pattern,2
89.6,1.39,2,2,-2,memory,2
67.7,2.86,1,4,0,pattern,4
81.8,2.48,1,2,-1,memory,2
96.2,0.86,0,2,-1,attention,3
89.0,1.66,0,2,2,pattern,3
97.4,1.04,0,1,-3,pattern,2
100.0,1.64,0,1,-2,routine,2
69.9,2.68,1,4,2,attention,4
82.0,1.66,1,3,-3,attention,3
63.8,3.57,2,3,-1,pattern,2
62.7,3.1,5,5,2,routine,4
63.8,1.62,3,1,-2,memory,1
100.0,1.22,0,1,0,pattern,2
86.9,3.65,1,3,-1,memory,3
69.0,3.56,1,5,0,attention,5
67.4,3.85,6,5,-2,memory,4
76.9,3.08,0,3,-3,routine,3
70.1,0.81,1,2,-3,attention,2
86.6,2.03,1,2,-1,memory,2
88.9,2.61,2,2,-2,routine,2
89.3,2.38,1,2,-3,routine,2
61.3,1.92,4,4,-1,pattern,3
87.8,2.37,0,4,2,attention,5
73.9,3.62,3,5,-3,routine,4
69.7,3.53,2,5,-3,memory,4
76.1,3.64,5,4,0,routine,3
82.8,3.26,2,3,-1,pattern,3
75.7,2.56,0,2,-3,pattern,2
87.8,1.99,2,3,-2,attention,3
78.1,1.69,0,2,2,pattern,3
78.6,3.88,1,5,3,memory,5
63.6,2.49,2,4,3,pattern,4
68.8,3.8,0,5,-3,pattern,4
56.7,1.9,4,3,1,routine,3
67.8,1.9,2,3,1,attention,3
77.2,1.68,4,2,-1,memory,2
70.3,3.24,3,5,0,pattern,4
69.8,2.61,6,4,2,memory,3
100.0,2.67,0,3,-3,memory,3
59.9,2.37,5,4,1,pattern,3
76.9,2.63,1,4,3,memory,4
62.0,3.91,3,5,3,pattern,4
85.6,1.07,0,3,-1,attention,4
80.5,3.37,3,4,-1,routine,4
100.0,1.58,1,1,-3,memory,2
93.8,2.51,1,3,0,pattern,3
87.4,3.87,1,3,-1,memory,3
73.9,3.2,0,3,2,routine,3
56.9,3.32,2,5,0,pattern,4
100.0,2.01,1,2,2,pattern,3
79.4,3.53,2,5,2,attention,5
92.0,2.75,0,2,0,routine,2
93.2,0.67,1,2,0,pattern,3
98.1,1.48,0,1,-2,attention,2
81.0,3.63,0,4,2,pattern,4
60.7,3.99,3,5,-1,attention,4
86.5,2.48,2,3,0,pattern,3
81.9,4.44,2,5,-1,routine,4
92.4,2.27,0,3,2,routine,4
93.6,2.46,2,1,-2,memory,1
70.0,2.84,5,4,-2,pattern,3
47.5,3.42,4,4,2,attention,3
86.1,2.23,3,3,3,pattern,3
74.5,2.79,2,4,-3,attention,3
61.7,3.17,5,3,-1,pattern,2
88.2,2.68,0,2,-3,routine,2
84.9,2.59,1,5,2,attention,5
51.2,3.67,4,5,2,pattern,4
100.0,1.77,0,2,2,routine,3
66.2,3.32,5,4,-2,attention,3
79.2,1.41,1,1,3,memory,2
94.9,2.01,1,2,0,routine,3
52.1,3.52,3,5,-3,routine,4
94.6,1.44,0,1,2,attention,2
95.5,2.5,1,3,1,attention,3
100.0,2.43,1,3,0,pattern,4
74.0,3.61,0,4,2,pattern,4
99.3,2.04,0,1,2,attention,2
97.6,1.98,0,1,1,pattern,2
85.7,1.47,2,3,2,memory,4
41.4,4.64,1,5,1,attention,4
100.0,2.33,0,2,-2,pattern,3
75.5,2.98,0,5,-1,attention,5
83.9,2.31,2,3,3,memory,4
74.2,1.8,4,1,-3,attention,1
100.0,2.89,1,2,-2,routine,2
76.6,2.94,2,5,-3,attention,5
80.7,3.61,2,5,-3,memory,4
95.5,1.91,1,3,3,pattern,4
88.0,2.85,4,2,-1,memory,1
53.1,4.24,3,5,-1,routine,4
77.1,2.96,2,5,-1,pattern,4
88.9,2.14,1,3,-1,pattern,3
85.7,2.49,1,1,0,pattern,1
56.4,3.41,4,5,-2,routine,4
100.0,2.22,0,1,3,routine,2
80.0,2.35,3,2,0,routine,2
90.5,3.44,0,2,-2,attention,2
100.0,1.5,0,2,0,routine,3
76.8,2.77,2,3,0,attention,3
72.4,2.76,1,4,1,attention,4
89.4,1.79,0,1,-1,memory,2
85.1,1.44,1,3,-2,routine,3
61.2,2.58,1,3,2,routine,3
71.6,1.38,7,2,1,memory,1
100.0,1.63,0,1,-3,memory,1
66.6,3.43,1,5,-2,routine,4
71.8,3.07,1,4,1,routine,4
100.0,0.6,0,1,-2,pattern,2
77.0,3.6,0,3,3,attention,3
91.7,2.72,1,4,0,pattern,4
100.0,1.49,0,2,3,pattern,3
100.0,2.2,0,1,3,memory,2
74.4,2.23,0,2,3,attention,2
91.9,1.78,1,3,1,pattern,4
43.6,3.18,5,5,3,pattern,4
85.9,2.35,1,3,0,attention,3
100.0,0.89,0,1,2,routine,2
99.8,2.23,0,2,2,attention,3
81.6,2.89,3,2,0,memory,2
77.7,2.85,1,4,-1,attention,4
51.2,2.99,2,5,-1,memory,4
87.4,1.28,1,1,0,memory,2
100.0,1.95,0,1,-3,attention,2
95.1,1.38,0,2,-2,memory,3
59.0,4.0,2,3,1,routine,2
69.7,3.33,2,4,1,pattern,4
87.8,2.1,1,3,-3,pattern,3
90.7,2.41,0,3,-2,routine,3
100.0,1.96,0,2,1,memory,3
53.4,3.38,4,4,3,pattern,3
40.9,3.09,2,5,1,memory,4
56.6,3.0,5,5,3,memory,4
90.2,1.3,0,1,-2,pattern,2
87.0,1.1,0,1,2,pattern,2
72.7,3.16,2,5,0,memory,5
84.7,3.01,3,4,1,routine,4
86.3,4.45,0,5,-2,pattern,5
78.3,2.13,3,2,3,pattern,2
91.3,1.05,1,1,0,pattern,2
30.1,2.44,4,5,2,routine,4
89.7,2.96,0,2,3,routine,3
57.0,3.45,4,4,-2,attention,3
100.0,1.24,0,2,-2,attention,3
71.3,2.04,3,4,-1,memory,4
56.0,3.57,6,5,-1,memory,4
60.7,3.66,3,5,2,memory,4
94.7,2.98,1,2,1,memory,2
64.5,3.9,1,3,0,routine,2
60.4,2.34,3,3,2,memory,3
82.8,1.75,2,2,0,attention,2
46.5,2.26,2,4,3,attention,4
95.8,1.19,2,2,-3,pattern,2
84.1,3.29,1,4,1,attention,4
86.1,2.93,0,4,2,pattern,4
68.8,3.81,2,5,-2,pattern,4
94.1,1.23,1,1,-2,routine,2
85.1,3.12,1,4,-3,memory,4
74.1,3.26,1,4,-2,routine,4
100.0,2.26,0,1,2,attention,2
79.9,2.13,0,1,0,attention,1
57.4,3.94,6,5,-3,memory,4
81.4,2.3,4,1,-3,routine,1
71.5,3.46,2,4,-3,memory,3
100.0,1.97,0,1,1,attention,2
61.1,2.25,3,4,-3,pattern,3
94.5,1.75,1,1,0,routine,2
87.5,1.18,0,1,-3,pattern,2
93.4,3.18,0,2,2,pattern,2
74.1,2.76,4,4,-3,routine,3
68.0,3.42,2,5,-3,pattern,4
78.4,2.83,1,3,-2,pattern,3
76.5,1.63,1,2,3,pattern,3
87.5,2.47,2,2,2,routine,2
67.2,1.6,2,3,-3,memory,3
82.7,1.18,0,2,-3,attention,2
80.8,1.43,4,1,0,routine,1
92.3,2.76,1,3,0,memory,3
80.4,2.02,2,2,-3,attention,2
85.5,4.34,3,4,2,routine,4
71.9,1.95,3,3,3,memory,3
66.1,3.02,4,3,1,memory,2
60.8,3.16,0,4,3,attention,4
78.8,2.02,3,1,2,memory,1
67.1,3.11,3,5,2,attention,5
89.1,1.74,0,1,-1,pattern,2
69.2,3.15,2,3,0,memory,2
69.7,1.04,4,1,-1,memory,1
70.7,2.64,3,2,-1,attention,2
86.4,2.77,1,3,-3,pattern,3
100.0,2.06,0,1,-3,routine,2
79.4,2.39,3,4,0,routine,4
100.0,1.4,0,1,3,routine,2
67.2,3.1,1,4,-3,attention,3
79.8,2.1,1,3,3,pattern,3
71.7,2.83,0,4,1,attention,4
67.5,1.79,0,2,-3,routine,2
76.2,2.65,1,3,-1,pattern,3
100.0,2.0,0,1,-2,pattern,1
94.1,2.19,0,3,-2,attention,3
59.9,2.13,1,2,3,attention,2
98.6,1.57,0,1,-1,routine,2
56.0,3.5,3,5,-2,routine,4
100.0,1.1,0,1,2,attention,2
81.0,1.07,1,2,2,routine,3
86.0,2.86,1,3,0,routine,3
67.8,3.99,6,5,-1,pattern,4
52.5,2.98,6,4,0,attention,3
77.7,3.5,3,5,0,routine,4
100.0,2.98,3,3,-2,routine,3
63.2,3.06,3,4,2,pattern,3
67.1,2.75,1,4,-3,routine,3
100.0,2.66,0,1,1,memory,2
51.7,3.36,4,5,-2,attention,4
95.3,1.36,1,3,-2,attention,4
93.6,1.21,1,2,-1,attention,3
79.2,2.2,2,3,2,routine,3
82.2,2.55,0,3,2,memory,3
83.6,2.14,1,2,2,pattern,3
100.0,1.35,0,1,2,attention,2
64.9,4.49,4,5,0,memory,4
83.3,2.32,1,3,3,memory,4
70.3,2.52,1,3,1,memory,3
71.1,1.08,4,2,1,routine,2
98.3,1.8,0,2,-2,routine,3
85.2,2.24,1,2,0,memory,2
85.9,1.84,1,1,0,routine,1
84.0,1.87,0,2,2,memory,3
71.6,3.57,2,5,0,routine,4
68.9,4.01,1,5,-2,pattern,4
87.7,0.6,3,1,-2,attention,2
86.3,2.19,1,2,-3,pattern,2
80.4,1.97,1,2,-1,attention,2
89.9,1.16,1,1,2,routine,2
78.3,2.37,1,1,-2,pattern,1
70.5,3.39,1,4,0,attention,3
100.0,2.21,0,1,-3,memory,1
79.5,1.47,9,2,1,memory,1
55.5,2.84,9,4,3,memory,3
100.0,2.15,0,2,-2,pattern,3
91.2,1.86,0,2,-3,pattern,2
67.8,3.24,1,5,3,routine,5
65.8,1.46,3,3,-2,routine,3
66.4,2.87,4,3,-3,pattern,2
66.2,2.77,3,5,2,routine,4
86.4,2.53,0,4,-3,attention,4
64.3,2.47,3,3,-3,memory,2
93.3,1.33,1,1,0,memory,2
77.6,1.48,1,2,-3,memory,2
79.4,3.56,1,4,1,routine,4
86.6,2.67,1,3,-2,pattern,3
71.9,2.73,0,4,2,pattern,4
65.3,2.05,5,4,-2,attention,3
67.6,2.62,4,4,1,memory,3
47.7,3.74,3,5,3,attention,4
90.1,2.77,0,3,1,pattern,3
54.9,3.25,5,4,-2,pattern,3
83.7,2.31,0,1,-1,pattern,1
63.5,4.57,0,5,2,attention,5
87.7,1.61,1,3,3,pattern,4
73.1,3.47,1,5,0,pattern,5
31.5,3.0,3,5,3,pattern,4
60.1,4.19,7,5,0,attention,4
89.3,2.64,1,3,0,routine,3
60.9,3.04,3,5,-3,routine,4
69.9,3.18,2,4,1,attention,4
81.4,2.51,0,4,2,memory,4
64.1,2.38,2,5,-2,memory,4
87.6,1.79,0,3,-3,pattern,3
100.0,1.69,0,1,3,pattern,2
89.1,0.77,0,1,-1,attention,2
98.8,0.72,0,1,0,routine,2
82.9,3.24,0,3,1,memory,3
59.9,3.06,3,5,1,attention,4
70.6,3.07,2,2,2,attention,2
67.6,3.47,1,2,-3,pattern,1
87.2,4.45,1,4,-3,attention,3
71.2,2.63,2,3,-2,attention,3
79.2,3.03,0,3,-1,pattern,3
50.3,3.95,9,5,-2,routine,4
100.0,2.24,0,1,-3,routine,1
78.5,2.06,1,3,2,pattern,3
63.0,1.54,5,2,-1,routine,1
67.1,1.87,2,3,2,memory,3
91.4,2.6,0,4,2,attention,5
80.3,3.2,2,4,-1,memory,4
81.5,1.76,2,1,3,routine,1
100.0,1.09,0,1,1,pattern,2
56.0,3.15,5,4,1,pattern,3
83.3,2.65,3,3,-1,attention,3
83.1,2.0,1,2,3,pattern,2
51.4,3.11,6,5,-1,pattern,4
97.4,2.99,0,4,-3,pattern,4
86.6,1.13,2,2,-3,memory,2
79.7,3.03,1,3,-3,pattern,3
100.0,1.93,0,1,-1,memory,2
100.0,1.11,0,1,1,pattern,2
78.1,2.44,1,3,3,routine,3
96.0,1.77,0,3,-1,routine,4
64.9,3.66,4,4,2,routine,3
65.7,3.45,1,4,-2,memory,3
65.8,2.33,3,2,-3,memory,1
85.2,3.29,1,5,-3,pattern,5
69.7,3.84,2,5,2,memory,5
98.7,1.58,0,2,-3,pattern,3
99.3,1.95,0,1,3,pattern,2
84.4,1.41,1,2,3,pattern,3
63.7,3.83,2,4,3,attention,4
90.4,1.77,1,2,0,pattern,3
58.2,2.26,3,3,-2,memory,2
100.0,2.13,0,1,0,attention,2
46.9,3.36,9,5,-2,memory,4
56.9,3.75,4,5,3,attention,4
75.6,3.24,3,4,-3,memory,3
83.0,2.27,2,1,-2,pattern,1
63.1,2.32,2,2,1,memory,2
100.0,1.29,0,1,-3,pattern,2
85.6,2.83,3,2,-2,pattern,2
100.0,2.78,0,5,3,pattern,5
87.0,2.04,0,1,2,pattern,2
79.9,4.24,0,5,-2,memory,4
78.7,3.02,0,4,0,pattern,4
66.4,2.05,4,3,3,memory,3
84.8,1.4,2,3,-3,pattern,3
66.6,3.18,3,4,2,pattern,3
75.1,3.69,1,4,0,routine,4
100.0,2.74,1,3,3,pattern,4
100.0,0.6,1,2,-2,pattern,3
86.4,1.09,2,1,-3,attention,1
71.9,3.27,3,4,-2,pattern,3
78.3,1.64,2,2,0,attention,2
74.9,3.02,2,4,2,attention,4
100.0,1.17,0,1,-2,memory,2
69.1,2.07,1,2,-1,routine,2
93.8,0.94,0,2,-3,pattern,3
93.9,1.49,0,2,-2,attention,3
84.0,0.78,1,2,0,attention,3
60.3,1.65,4,4,-3,pattern,3
70.0,3.01,3,3,3,memory,3
60.8,2.58,3,2,1,routine,1
65.4,3.56,5,3,-1,routine,2
78.7,2.43,4,2,2,memory,2
74.1,1.45,2,2,1,attention,2
70.4,2.72,1,4,0,attention,4
64.6,3.15,2,4,-2,attention,3
61.0,2.98,1,5,-1,routine,5
84.9,3.46,2,4,3,pattern,4
68.7,2.1,1,4,-1,memory,4
93.9,3.51,0,4,-1,routine,4
99.0,0.6,0,1,-1,memory,2
58.1,3.25,0,4,0,pattern,3
92.0,0.69,0,1,2,attention,2
63.5,2.84,4,4,1,pattern,3
78.9,2.31,2,3,-1,attention,3
73.6,3.09,7,5,-3,pattern,4
83.3,2.87,0,5,-2,attention,5
76.2,1.56,1,2,0,pattern,2
73.9,2.7,2,4,3,pattern,4
100.0,1.95,0,1,2,attention,2
77.0,3.26,2,3,-1,pattern,3
59.5,2.46,3,5,-2,attention,4
80.8,1.36,1,1,0,routine,2
90.5,3.08,0,2,-3,memory,2
82.6,1.84,1,3,-3,routine,3
75.4,2.34,0,2,1,memory,2
72.6,2.51,1,4,3,attention,4
92.4,3.97,1,4,1,routine,4
83.3,2.39,1,2,3,routine,3
88.4,0.6,0,2,1,memory,3
100.0,2.19,0,2,2,attention,3
52.2,2.04,6,5,3,routine,4
42.5,3.22,3,5,0,memory,4
96.1,2.52,1,2,-3,memory,2
79.5,2.47,2,3,1,routine,3
57.3,2.74,3,4,-1,routine,3
59.0,4.64,2,4,-2,attention,3
93.1,3.23,0,4,0,memory,4
57.9,1.56,1,3,0,memory,3
41.3,1.87,5,3,3,pattern,2
53.8,3.6,5,5,0,pattern,4
95.8,1.13,0,1,0,memory,2
62.7,4.51,6,4,1,memory,3
72.8,3.17,2,4,3,memory,4
72.2,2.63,1,4,2,attention,4
61.0,2.38,5,3,-1,routine,2
100.0,1.5,0,1,-3,routine,2
82.2,2.94,2,3,2,memory,3
56.3,4.17,5,5,2,attention,4
84.1,1.47,1,1,1,attention,2
98.9,1.3,0,1,-1,pattern,2
44.1,2.77,3,4,1,pattern,3
77.7,2.45,2,3,-2,routine,3
74.0,2.02,2,1,0,pattern,1
81.3,2.41,2,4,0,pattern,4
100.0,1.72,1,1,2,memory,2
31.2,3.3,7,5,-1,pattern,4
82.8,2.54,3,3,-2,pattern,2
79.8,2.94,4,4,-3,pattern,3
63.3,3.83,3,5,1,attention,4
86.2,2.04,1,2,-1,attention,2
42.7,4.13,3,4,-2,pattern,3
72.1,3.11,3,5,0,attention,4
57.9,2.51,3,4,1,pattern,3
59.0,2.08,1,4,-2,memory,4
94.6,1.56,0,2,2,memory,3
49.9,2.86,5,4,3,pattern,3
93.1,1.48,1,2,-2,routine,3
64.7,2.61,2,3,-3,routine,2
100.0,1.81,0,1,0,pattern,2
67.7,3.26,4,4,-2,pattern,3
65.8,2.0,3,3,3,attention,3
87.8,2.02,2,2,2,attention,2
80.8,1.94,1,2,2,pattern,2
88.2,0.96,2,2,-2,memory,3
97.2,0.71,1,1,2,routine,2
83.7,3.41,1,4,3,pattern,4
55.0,3.65,2,5,2,memory,4
69.9,2.4,2,3,-2,memory,3
92.6,2.0,0,3,1,routine,4
88.0,0.72,1,2,0,attention,3
82.1,2.21,2,3,2,routine,3
60.9,2.65,7,5,-1,routine,4
66.5,3.14,2,2,1,pattern,1
68.3,1.96,3,2,-2,routine,2
71.6,2.46,2,4,2,pattern,4
51.2,3.25,3,4,0,attention,3
83.2,2.25,0,3,-1,routine,3
85.7,2.16,1,1,0,memory,1
61.6,3.4,2,5,1,memory,4
99.2,1.12,0,2,-3,memory,3
73.5,2.0,3,2,-1,pattern,2
71.0,3.61,0,4,2,pattern,4
86.2,1.52,1,1,0,pattern,2
66.4,2.98,1,3,-3,pattern,2
53.6,3.03,6,3,2,routine,2
73.2,3.09,1,5,-2,pattern,5
100.0,2.28,0,1,3,attention,2
98.7,1.79,0,1,3,memory,2
84.0,2.65,0,2,-1,pattern,2
98.3,3.13,0,3,-3,memory,3
100.0,1.27,1,1,-1,attention,2
